museum,collection,GUID,sciname,locuncertain,country,state,locality,date,lat,lon,alt,ssp,age,sex,toel1,toea1,toeb1,toel2,toea2,toeb2,toel3,toea3,toeb3,toel4,toea4,toeb4,toel5,toea5,toeb5,toel6,toea6,toeb6,toem1,toem2,toem3,toem4,toem5,toem6,rlightl1,rlighta1,rlightb1,rlightl2,rlighta2,rlightb2,rlightl3,rlighta3,rlightb3,rlightl4,rlighta4,rlightb4,rlightl5,rlighta5,rlightb5,rlightl6,rlighta6,rlightb6,rlightm1,rlightm2,rlightm3,rlightm4,rlightm5,rlightm6,rdarkl1,rdarka1,rdarkb1,rdarkl2,rdarka2,rdarkb2,rdarkl3,rdarka3,rdarkb3,rdarkl4,rdarka4,rdarkb4,rdarkl5,rdarka5,rdarkb5,rdarkl6,rdarka6,rdarkb6,rdarkm1,rdarkm2,rdarkm3,rdarkm4,rdarkm5,rdarkm6,backl1,backa1,backb1,backl2,backa2,backb2,backl3,backa3,backb3,backl4,backa4,backb4,backl5,backa5,backb5,backl6,backa6,backb6,backm1,backm2,backm3,backm4,backm5,backm6
MSB,Bird,35949,Bubo virginianus,100,Peru,Lima,San Pedro de Casta-Colegio,3/3/2011,-11.7603,-76.59756667,3178.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,35837,Bubo virginianus,300,Peru,Lima,San Pedro,8/27/2010,-11.75993333,-76.59746667,3177.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,36086,Bubo virginianus,150,Peru,Ancash,Huaylas,5/30/2011,-8.83621,-77.9258,3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29148,Bubo virginianus,3218.688,United States,Texas,"Kingsville, 20 miles South",12/29/2009,27.237948,-97.804256,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,4396,Bubo virginianus pallescens,600,United States,New Mexico,Cloverdale; Pendleton Ranch,5/4/1962,31.4156258,-108.9299583,1603.7,pal,adult,F,66.39,3.5,25.9,72.82,0.96,25.66,58.32,2.62,24.82,59.46,2.49,25.84,64.37,3.85,27.43,59.93,3.53,25.99,15.36,21.94,21.07,18.12,21.87,23.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,2.89,6.59,15.21,3.57,12.07,18.46,3.19,14.59,17.38,5.11,15.8,18.76,4.92,17.03,21.88,4.64,18.35,89.98,83.1,78.39,71.73,82.28,58.92
MSB,Bird,4397,Bubo virginianus pallescens,600,United States,New Mexico,Cloverdale; Pendleton Ranch,5/5/1962,31.4156258,-108.9299583,1603.7,pal,adult,F,52.69,1.54,24.99,57.21,5.74,25.88,57.45,6.25,36.15,55.5,5.7,22.08,64.99,2.8,27.41,51.5,0.38,25.69,23.74,18.81,22.08,25.54,29.21,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22,0.98,10.65,18.34,5.73,15.93,10.71,1.96,8.67,17.15,1,10.94,9.28,2,7.93,9.48,3.27,8.93,74.82,85.67,89.02,80.95,87.16,93.35
MSB,Bird,9439,Bubo virginianus pinorum,4750.615511,United States,Arizona,"Patagonia, 3 mi. SW",12/23/1992,31.5087484,-110.7921462,1243.4,pin,adult,M,28.79,6.42,17,36.43,4.58,25.75,30.07,3.94,22.12,30.17,6,20.19,34.62,5.9,19.6,53.24,4.91,29.06,47.6,41.93,53.99,50.43,46.69,38.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.47,5.03,20.69,10.59,4.64,9.68,6.73,1.51,4.73,16.46,3.79,10.03,3.92,0.86,1.85,12.94,2.18,7.21,93.85,87.68,103.05,87.39,90.65,81.77
MSB,Bird,26577,Bubo virginianus,,United States,New Mexico,"21 1/4 mi S of Animas, State Highway 338",9/5/2007,31.64966667,-108.8481333,1492.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,5524,Bubo virginianus,36016,United States,New Mexico,Northern Animas Mountains,7/2/1980,31.7374519,-108.6959838,1632.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,45936,Bubo virginianus,10,United States,New Mexico,HWY 9 South of Animas,1/9/2015,31.770833,108.805556,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
